Tf_id	Pbm_name
3.3.1.10.1	Foxj1
3.3.1.10.3	Foxj3
3.3.1.11.1	Foxk1
3.3.1.12.1	Foxl1
3.3.2.1.2	E2F2
3.3.2.1.3	E2F3
3.3.3.0.3	Rfx3
3.3.3.0.4	Rfx4
3.3.3.0.7	Rfxdc2
3.5.1.1.1	Myb
3.5.1.1.2	Mybl1
3.5.2.1.1	Ets1
3.5.2.1.4	Gabpa
3.5.2.1.5	Fli1
3.5.2.1.6	Erg
3.5.2.1.8	Etv3
3.5.2.2.1	Elk1
3.5.2.2.2	Elk3
3.5.2.2.3	Elk4
3.5.2.2.4	Etv1
3.5.2.2.5	Etv4
3.5.2.2.6	Etv5
3.5.2.3.2	Elf2
3.5.2.3.3	Elf4
3.5.2.4.1	Ehf
3.5.2.4.2	Elf3
3.5.2.4.3	Elf5
3.5.2.5.1	Sfpi1
3.5.2.5.3	Spic
3.5.2.6.1	Etv6
3.5.2.7.1	Spdef
3.5.3.0.3	Irf3
3.5.3.0.4	Irf4
3.5.3.0.5	Irf5
3.5.3.0.6	Irf6
3.5.3.0.9	Isgf3g
3.7.1.3.1	Arid3a
3.7.1.5.1	Arid5a
4.1.1.1.1	Sry
4.1.1.2.1	Sox1
4.1.1.2.4	Sox14
4.1.1.2.5	Sox21
4.1.1.3.1	Sox4
4.1.1.3.2	Sox11
4.1.1.3.3	Sox12
4.1.1.4.1	Sox5
4.1.1.4.3	Sox13
4.1.1.5.1	Sox8
4.1.1.6.1	Sox7
4.1.1.6.2	Sox17
4.1.1.6.3	Sox18
4.1.1.7.1	Sox15
4.1.1.8.1	Sox30
4.1.1.9.2	Hbp1
4.1.1.9.3	Bbx
4.1.3.0.1	Tcf1
4.1.3.0.3	Tcf7l2
4.1.3.0.4	Lef1
5.1.2.0.1	Srf
5.3.3.1.1	Gmeb1
5.3.5.2.1	Sp100
6.5.2.0.2	Eomes
7.1.1.1.3	Smad3
7.2.1.0.1	Gcm1
8.1.1.0.1	Tbp
