Tf_id	Chip_name	Pbm_name
3.1.5.2.1		Lhx1
3.1.5.2.2		Lhx5
3.1.2.17.2		Nkx2-5
3.1.2.17.3		Nkx2-6
3.1.2.17.1		Nkx2-3
2.1.3.4.2	Tr4	
3.1.2.11.1		Msx1
3.1.2.11.2		Msx2
3.1.3.18.2		Phox2b
3.1.3.18.1		Phox2a
1.1.8.1.4	Cebpd	
3.3.1.10.1		Foxj1
3.1.5.4.2		Lhx4
3.1.5.4.1		Lhx3
3.5.2.1.4	Gabp	Gabpa
2.1.3.2.2	Hnf4g	
3.1.3.28.1		Vsx1
3.5.2.1.6		Erg
3.1.2.9.1		Hlx1
2.3.4.0.29		Zfp128
3.3.3.0.7		Rfxdc2
3.3.3.0.4		Rfx4
3.3.3.0.5	Rfx5	
2.3.4.0.27	Corest	
3.3.3.0.3		Rfx3
3.5.2.1.1	Ets1	Ets1
3.1.1.8.10		Hoxd11
3.5.3.0.1	Irf1	
3.1.1.8.12		Hoxd12
3.1.1.8.13		Hoxa13
3.1.1.8.14		Hoxb13
3.5.3.0.5		Irf5
3.1.1.8.16		Hoxd13
3.1.2.1.1		Barhl1
3.1.2.1.2		Barhl2
4.1.1.8.1		Sox30
2.3.3.0.39		Zfp691
3.1.3.20.1		Prop1
3.2.1.1.2		Pax7
2.1.2.1.1		Rara
3.5.2.4.3		Elf5
3.1.3.16.1		Otp
3.7.1.6.2	Plu1	
3.7.1.6.1	Jarid1a	
3.1.3.8.1		Esx1
3.1.1.11.1		Gbx1
3.1.1.11.2		Gbx2
2.1.1.2.1	Eralpha	
2.1.1.2.3	Erra	Esrra
1.1.7.1.2	Atf1	Atf1
1.1.7.1.1	Creb1	
3.1.10.5.1	Pou5f1	
3.3.1.1.1	Foxa1	
1.1.1.3.1	Atf2	
3.3.1.1.2	Foxa2	Foxa2
3.7.1.4.2	Brca1	
3.1.1.15.1		Ipf1
4.2.1.0.2	Nfyb	
4.2.1.0.1	Nfya	
1.1.1.1.1	Cjun	
1.1.1.1.3	Jund	
1.1.1.1.2	Junb	
3.5.1.1.2		Mybl1
3.5.1.1.1	Myb	Myb
3.1.3.4.1		Dmbx1
3.1.3.22.1		Rax
2.9.1.0.1	Thap1	
4.1.6.1.1	Ubf	
6.1.5.0.1	Ebf1	
3.1.10.3.1		Pou3f1
3.1.10.3.2		Pou3f2
3.1.10.3.3		Pou3f3
3.1.10.3.4		Pou3f4
3.1.10.1.1		Pou1f1
3.1.10.7.2		Tcf2
3.1.10.7.3		Hmbox1
2.3.2.4.7		Osr1
2.3.1.2.7		Klf7
2.1.3.2.1	Hnf4a	Hnf4a
3.3.1.13.1	Foxm1	
1.2.1.0.3	Tcf12	
1.2.2.1.4		Myf6
1.2.1.0.1	Tcf3	Tcf3
3.1.3.12.1		Isx
2.3.3.0.6	Znf274	
2.3.3.0.1		Zfp161
2.3.3.0.9		Osr2
3.1.1.2.1		Hoxa2
3.1.1.4.2		Hoxb4
3.1.1.4.3		Hoxc4
3.1.1.4.1		Hoxa4
2.3.3.8.2		Zbtb7b
2.3.3.8.1	Zbtb7a	
3.1.1.6.1		Hoxa6
3.1.1.6.2		Hoxb6
3.1.1.6.3		Hoxc6
3.1.1.6.4		Hoxa7
3.1.1.6.5		Hoxb7
1.1.2.1.3	Fosl1	
3.1.1.8.6		Hoxc10
3.1.1.8.7		Hoxd10
3.1.1.8.5		Hoxa10
3.1.1.8.2		Hoxb9
3.1.1.8.3		Hoxc9
3.1.1.8.1		Hoxa9
3.1.1.8.8		Hoxa11
3.1.1.8.9		Hoxc11
3.5.3.0.3	Irf3	Irf3
7.1.1.1.3		Smad3
5.3.5.2.1		Sp100
6.1.3.0.1	Nfatc1	
3.5.3.0.4	Irf4	Irf4
3.2.2.2.2	Pax5	
4.1.1.9.2		Hbp1
3.1.1.8.15		Hoxc13
3.5.3.0.6		Irf6
3.1.10.2.1		Pou2f1
3.1.2.2.2		Barx2
3.1.2.2.1		Barx1
3.1.10.2.3		Pou2f3
3.5.3.0.9		Isgf3g
3.1.10.2.2	Pou2f2	Pou2f2
2.3.3.13.2		Zfp281
3.1.4.4.3	Pbx3	
3.1.4.4.1		Pbx1
2.3.4.8.1	Maz	
2.2.1.1.5		Gata5
3.1.4.6.1		Tgif1
3.1.4.6.2		Tgif2
1.1.2.2.1	Atf3	
2.3.3.11.3		Zbtb12
1.1.2.2.2		Jundm2
6.1.2.1.8	Bcl3	
3.1.2.6.2		Emx2
5.3.3.1.1		Gmeb1
3.1.1.8.11		Hoxc12
3.1.2.4.1		Dbx1
3.1.2.4.2		Dbx2
3.1.6.3.2	Six5	
3.1.6.3.1		Six4
3.4.1.0.1	Hsf1	
4.1.1.3.2		Sox11
4.1.1.3.3		Sox12
4.1.1.3.1		Sox4
3.1.6.1.1		Six1
3.1.6.1.2		Six2
3.1.4.2.1		Meis1
2.2.1.1.6		Gata6
2.2.1.1.1	Gata1	
2.2.1.1.3	Gata3	Gata3
2.2.1.1.2	Gata2	
2.3.3.25.3		Plagl1
3.3.1.11.1		Foxk1
